,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
0,Grand Ibro Hotel,Wuse,"Wuse, Abuja - 2121 Micheal Okpara Road Opposite Shelter Plaza","₦20,000",Hotel,10610,7.5 Very Good,From 157 reviews
1,Best Premier Maitama Residence,Maitama,"Maitama, Abuja - Plot 5092, Danube Street, (Opposite NO 11), Maitam...","₦50,000",Hotel,155,NA,NA
2,House 1144 By Transcend Guzape,Guzape,"Guzape, Abuja - Plot 1144, Olawale Ige Sreet, Guzape","₦37,000",Hotel,2,NA,NA
3,Lisa Suites,Asokoro,"Asokoro, Abuja - 3018, Justice James Ogebe Street, Asokoro ","₦70,000",Apartment,15,NA,NA
4,"E-Gold Hotel, Maitama",Maitama,"Maitama, Abuja - No. 2 Sankuru Close Off Rima Street By El- Amin In...","₦29,000",Hotel,107,NA,NA
5,Power Mike Hotels ,Garki,"Garki, Abuja - 9 Argungu Close , Off Benue Cresent, Area 1, Garki","₦18,000",Budget Hotel,4212,7.3 Very Good,From 32 reviews
6,Summit Villas Suites ,Gwarinpa,"Gwarinpa, Abuja -  Life Camp Junction, Opposite AP Filling Station ","₦13,000",Budget Hotel,4262,6.4 Very Good,From 40 reviews
7,Orient Hotel,Wuse,"Wuse, Abuja - 12 Sudan Street","₦12,500",Hotel,4104,7.4 Very Good,From 43 reviews
8,Ritman Hotels,Garki,"Garki, Abuja - 11 Ilorin Street, Area 8","₦15,000",Hotel,3765,7.1 Very Good,From 26 reviews
9,Tescon Hotel,Lugbe,"Lugbe, Abuja - Plot 338 Lugbe Phase 1 Layout, Airport Road, Abuja","₦11,000",Hotel,2445,6.7 Very Good,From 13 reviews
10,Ritman Hotels Gwarinpa Branch,Gwarinpa,"Gwarinpa, Abuja - 5 Christina Ajayi Okunuga Street (Road 11)","₦14,500",Hotel,1833,6.7 Very Good,From 28 reviews
11,Grand Cubana Hotel,Jabi,"Jabi, Abuja -  6 Ebitu Ukiwe St,","₦30,000",Budget Hotel,2028,NA,NA
12,Pope John Paul Catholic Guest House,Wuse,"Wuse, Abuja - Pope John Paul Ll Catholic Centren 27, Bangui Stre...","₦27,500",Guest House,4717,6.8 Very Good,From 51 reviews
13,"BARCELONA HOTELS, ABUJA",Wuse 2,"Wuse 2, Abuja - 23 Blantyre Street, Off Aminu Kano Crescent, Wuse ...","₦55,537",Hotel,2495,6.7 Very Good,From 32 reviews
14,Stamford Hotels ,Kubwa,"Kubwa, Abuja - 26 / 28 Olukoya Street Extension 3 By Army Post Se...","₦15,000",Hotel,1708,6.9 Very Good,From 17 reviews
15,New City Hotel,Wuye,"Wuye, Abuja - Plot 576 Gidado Idris Street Wuye","₦10,000",Hotel,1316,6.5 Very Good,From 12 reviews
16, Hotel Rosebud,Garki,"Garki, Abuja - 33 Port Harcourt Crescent Off Gimbiya Street, Gark...","₦35,000",Hotel,878,6.7 Very Good,From 10 reviews
17,Rodze Hotel,Wuse Zone 5,"Wuse Zone 5, Abuja - Plot No27, Duola Street, Wuse Zone 5,Abuja","₦14,000",Budget Hotel,2004,NA,NA
18,Bjorne Suites,Wuse 2,"Wuse 2, Abuja - 28 Agadez Crescent, Off Aminu Kano Crescent ","₦35,000",Hotel,2428,7.6 Very Good,From 37 reviews
19,Blue-view Hotel, Lugbe," Lugbe, Abuja - Light Gold Estate, Lugbe","₦10,000",Hotel,2193,6.4 Very Good,From 8 reviews
20,MS-MARRIOTT APARTMENTS,Kubwa,"Kubwa, Abuja - Plot 28, Allen Avenue Street, Gidi Dutse, Along Ga...","₦7,500",Hotel,1581,6.2 Very Good,From 7 reviews
21,The Bahamas Hotels International,Asokoro,"Asokoro, Abuja - 20, Eyadema Street, Behind Ecowas Secretariat","₦12,650",Hotel,1459,7.1 Very Good,From 13 reviews
22,SeaDry Suites,Kubwa,"Kubwa, Abuja - FCDA Extension III","₦10,000",Hotel,975,NA,NA
23,Royal Choice Inn,Central Business District,"Central Business District, Abuja - Beside The National Christian Centre, Behind CBN, ...","₦30,000",Hotel,2052,7.3 Very Good,From 13 reviews
24,Nippon Grand Hotels,Kado,"Kado, Abuja - Plot 102 Ahmadu Bello, Kado Express Way, Opp Nest ...","₦38,000",Hotel,1306,NA,NA
25,Reiz Continental Hotel,Garki,"Garki, Abuja - Plot 779, Cadastral Zone AO,Central Business Distr...","₦47,940",Hotel,1661,7.8 Very Good,From 24 reviews
26,Grand Ibro Hotel Annex,Wuse Zone 5,"Wuse Zone 5, Abuja - 36 Sokode Crescent","₦25,000",Hotel,1583,6.9 Very Good,From 13 reviews
27,St Mattias Hotel,Utako,"Utako, Abuja -  5 Olu Akinfosile Close Off T.O.S Benson Crescent ","₦15,000",Hotel,1360,NA,NA
28,The Weaver's Hotel,Central Business District,"Central Business District, Abuja - Plot 74 Ralph Shodeinde Street, Ogun State House O...","₦15,000",Hotel,1466,7.6 Very Good,From 19 reviews
29,Peace Haven Hotel,Wuye,"Wuye, Abuja - 112 Olusegun Obasanjo Way, Wuye, FCT","₦15,000",Hotel,981,6.2 Very Good,From 15 reviews
30,Sharon Ultimate Hotels,Garki,"Garki, Abuja - Plot 1710, Tafawa Balewa Way, Area 3","₦35,250",Hotel,1369,6.2 Very Good,From 21 reviews
31,Tasquared Suites And Apartments (Formerly Bristlecone Suites And Apartments),Asokoro,"Asokoro, Abuja - 71 Kwame Nkrumah Crescent, Asokoro","₦16,650",Hotel,568,NA,NA
32,House 9 Apartments,Maitama,"Maitama, Abuja - #9 Ontario Crescent, Off Mississippi Street,maitam...","₦20,000",Apartment,1358,NA,NA
33,Frankville Hotel Ltd,Karu,"Karu, Abuja - FMEV Quaters , (Formerly Nepa Quaters), E10/9076, ...","₦12,000",Hotel,984,6.9 Very Good,From 7 reviews
34,Casalinda Hotel ,Wuse 2,"Wuse 2, Abuja - 6 Takwa Crescent, Wuse 2 , By Exclusive Stores","₦37,250",Hotel,547,NA,NA
35,Starview Palace Hotel,Gwarinpa,"Gwarinpa, Abuja - Plot 7, 4th Avenue (by Setraco Gate)","₦35,000",Hotel,696,6.0 Very Good,From 9 reviews
